Timestamp, Position (X, Y, Z), Rotation (X, Y, Z, W)
2.99178, 0, 3.442, 15.03186, 0, 0, 0, 1
2.998547, 0, 3.442, 15.0589, 0, 0, 0, 1
3.002958, 0, 3.442, 15.09274, 0, 0, 0, 1
3.008106, 0, 3.442, 15.11479, 0, 0, 0, 1
3.013569, 0, 3.442, 15.14053, 0, 0, 0, 1
3.018125, 0, 3.442, 15.16785, 0, 0, 0, 1
3.023261, 0, 3.442, 15.19063, 0, 0, 0, 1
3.028019, 0, 3.442, 15.21631, 0, 0, 0, 1
3.035031, 0, 3.442, 15.2401, 0, 0, 0, 1
3.04031, 0, 3.442, 15.27516, 0, 0, 0, 1
3.045994, 0, 3.442, 15.30155, 0, 0, 0, 1
3.050948, 0, 3.442, 15.32997, 0, 0, 0, 1
3.056089, 0, 3.442, 15.35474, 0, 0, 0, 1
3.071282, 0, 3.442, 15.38045, 0, 0, 0, 1
3.080177, 0, 3.442, 15.45642, 0, 0, 0, 1
3.086284, 0, 3.442, 15.50089, 0, 0, 0, 1
3.091513, 0, 3.442, 15.53142, 0, 0, 0, 1
3.097493, 0, 3.442, 15.55757, 0, 0, 0, 1
3.102643, 0, 3.442, 15.58747, 0, 0, 0, 1
3.10763, 0, 3.442, 15.61322, 0, 0, 0, 1
3.112456, 0, 3.442, 15.63815, 0, 0, 0, 1
3.117723, 0, 3.442, 15.66228, 0, 0, 0, 1
3.122185, 0, 3.442, 15.68862, 0, 0, 0, 1
3.1278, 0, 3.442, 15.71093, 0, 0, 0, 1
3.132761, 0, 3.442, 15.739, 0, 0, 0, 1
3.137598, 0, 3.442, 15.76381, 0, 0, 0, 1
3.142961, 0, 3.442, 15.78799, 0, 0, 0, 1
3.147577, 0, 3.442, 15.81481, 0, 0, 0, 1
3.15232, 0, 3.442, 15.83789, 0, 0, 0, 1
3.157024, 0, 3.442, 15.8616, 0, 0, 0, 1
3.162018, 0, 3.442, 15.88512, 0, 0, 0, 1
3.16751, 0, 3.442, 15.9101, 0, 0, 0, 1
3.172014, 0, 3.442, 15.93756, 0, 0, 0, 1
3.177195, 0, 3.442, 15.96007, 0, 0, 0, 1
3.1828, 0, 3.442, 15.98598, 0, 0, 0, 1
3.187447, 0, 3.442, 16.014, 0, 0, 0, 1
3.192806, 0, 3.442, 16.03724, 0, 0, 0, 1
3.197869, 0, 3.442, 16.06403, 0, 0, 0, 1
3.202674, 0, 3.442, 16.08935, 0, 0, 0, 1
3.208235, 0, 3.442, 16.11337, 0, 0, 0, 1
3.223517, 0, 3.442, 16.14118, 0, 0, 0, 1
3.230356, 0, 3.442, 16.21759, 0, 0, 0, 1
3.236217, 0, 3.442, 16.25178, 0, 0, 0, 1
3.241076, 0, 3.442, 16.28109, 0, 0, 0, 1
3.246411, 0, 3.442, 16.30538, 0, 0, 0, 1
3.251644, 0, 3.442, 16.33206, 0, 0, 0, 1
3.2565, 0, 3.442, 16.35822, 0, 0, 0, 1
3.261726, 0, 3.442, 16.3825, 0, 0, 0, 1
